batch,timestamp,atlases,templates,top_n,subject,label,k,se,sn,j,volume
batch_1,2013-12-27.02-54-08-node08_16,7,13,0,16,1,0.8765873505,0.8662280702,0.9999363831,0.7802897278,4007
batch_1,2013-12-27.02-54-08-node08_16,7,13,0,16,2,0.9032840537,0.8625,0.9999691745,0.8236262605,4221
batch_1,2013-12-27.02-54-08-node08_16,7,15,0,16,1,0.8754633062,0.8633040936,0.9999370869,0.7785102175,3990
batch_1,2013-12-27.02-54-08-node08_16,7,15,0,16,2,0.9033718036,0.8603448276,0.9999710043,0.8237721832,4198
batch_1,2013-12-27.02-54-08-node08_16,7,17,0,16,1,0.8771322621,0.8645224172,0.9999383536,0.7811536768,3986
batch_1,2013-12-27.02-54-08-node08_16,7,17,0,16,2,0.9035256774,0.8588362069,0.9999724118,0.8240281224,4181
batch_1,2013-12-27.02-54-08-node08_16,7,19,0,16,1,0.8771322621,0.8645224172,0.9999383536,0.7811536768,3986
batch_1,2013-12-27.02-54-08-node08_16,7,19,0,16,2,0.9039420027,0.8599137931,0.9999721303,0.8247209591,4188
batch_1,2013-12-27.02-54-08-node08_16,7,1,0,16,1,0.8821624315,0.8628167641,0.9999460946,0.7891687096,3924
batch_1,2013-12-27.02-54-08-node08_16,7,1,0,16,2,0.8648408915,0.8405172414,0.9999325779,0.7618675523,4379
batch_1,2013-12-27.02-54-08-node08_16,7,3,0,16,1,0.8509118735,0.8128654971,0.9999435611,0.7405105438,3737
batch_1,2013-12-27.02-54-08-node08_16,7,3,0,16,2,0.890633891,0.8433189655,0.9999670631,0.80283135,4147
batch_1,2013-12-27.02-54-08-node08_16,7,5,0,16,1,0.8713930348,0.8535575049,0.9999390573,0.7720960987,3936
batch_1,2013-12-27.02-54-08-node08_16,7,5,0,16,2,0.8989578614,0.8551724138,0.9999690337,0.8164609053,4188
batch_1,2013-12-27.02-54-08-node08_16,7,7,0,16,1,0.8774801587,0.86208577,0.9999406055,0.7817057004,3960
batch_1,2013-12-27.02-54-08-node08_16,7,7,0,16,2,0.8995366708,0.8577586207,0.9999677669,0.8174163072,4209
batch_1,2013-12-27.02-54-08-node08_16,7,9,0,16,1,0.8756662948,0.8606237817,0.9999393388,0.778831312,3963
batch_1,2013-12-27.02-54-08-node08_16,7,9,0,16,2,0.9006112746,0.8573275862,0.9999695967,0.8191927512,4194
batch_1,2013-12-27.02-54-08-node08_16,9,11,0,16,1,0.8821507488,0.8754873294,0.9999368054,0.789150011,4042
batch_1,2013-12-27.02-54-08-node08_16,9,11,0,16,2,0.8961512184,0.8480603448,0.9999708635,0.8118423767,4142
batch_1,2013-12-27.02-54-08-node08_16,9,13,0,16,1,0.8836011284,0.8776803119,0.9999370869,0.7914744012,4049
batch_1,2013-12-27.02-54-08-node08_16,9,13,0,16,2,0.8966772872,0.849137931,0.9999707228,0.8127062706,4148
batch_1,2013-12-27.02-54-08-node08_16,9,15,0,16,1,0.8824179875,0.875,0.9999375091,0.7895778364,4035
batch_1,2013-12-27.02-54-08-node08_16,9,15,0,16,2,0.8979685003,0.8478448276,0.9999735379,0.8148301574,4122
batch_1,2013-12-27.02-54-08-node08_16,9,17,0,16,1,0.8824828263,0.8764619883,0.9999365239,0.7896816685,4048
batch_1,2013-12-27.02-54-08-node08_16,9,17,0,16,2,0.8979219,0.8474137931,0.9999738194,0.814753419,4118
batch_1,2013-12-27.02-54-08-node08_16,9,19,0,16,1,0.8820714198,0.8757309942,0.9999365239,0.7890230516,4045
