hemisphere,kappa,se,sn,jaccard,subject,num_atlases
101,0.9089096573,0.9389804325,0.999930474,0.8330287803,15,4
1,0.8881334981,0.9501873485,0.9998789517,0.7987770984,22,4
101,0.8423048562,0.8674332827,0.9998752908,0.7275705187,22,4
1,0.8951577077,0.9590671109,0.9998913431,0.8102131082,23,4
101,0.8889392053,0.9613124388,0.9998841669,0.8000815162,23,4
1,0.8671328671,0.9079497908,0.9998997933,0.7654320988,28,4
101,0.8414605963,0.9236428209,0.9998492652,0.7263115899,28,4
1,0.8982250032,0.9507975128,0.9999134466,0.8152526657,31,4
101,0.8820512821,0.9402859546,0.9999037375,0.7889908257,31,4
1,0.8269462521,0.914445629,0.9998430768,0.7049517156,40,4
101,0.8303448276,0.9192115491,0.9998505391,0.7099056604,40,4
1,0.8916552668,0.9599410898,0.9999076803,0.8044927178,46,4
101,0.8749276202,0.949717159,0.9999009282,0.7776634071,46,4
1,0.914098207,0.9535452323,0.9999235755,0.8417871789,57,4
101,0.902349486,0.933181473,0.9999248436,0.8220735786,57,4
1,0.8856088561,0.9605122732,0.9998899427,0.7947019868,59,4
101,0.8602265157,0.946350044,0.9998781265,0.7547346271,59,4
1,0.9156172767,0.9222380275,0.9999452492,0.8443672672,64,4
101,0.8160267972,0.8667214012,0.9998675671,0.6892274211,64,4
1,0.8257982928,0.902764977,0.9998267368,0.7032848681,67,4
101,0.8518245872,0.9248686915,0.9998479892,0.7418941198,67,4
1,0.8654841908,0.92663364,0.9998719193,0.762866576,70,4
101,0.8674177763,0.953942428,0.999861931,0.7658762058,70,4
1,0.8434396236,0.9383541727,0.9998612381,0.7292655367,77,4
101,0.8065387733,0.8913108391,0.9998497,0.675798053,77,4
1,0.8727526132,0.9374251497,0.999900926,0.7742334322,79,4
101,0.880469733,0.9302806499,0.9999128875,0.7864635365,79,4
1,0.8072355703,0.8169368362,0.9998957155,0.6767770317,03,5
101,0.8067888663,0.7993005112,0.9999047206,0.6761492945,03,5
1,0.8321396598,0.8717467761,0.9998658667,0.7125335378,09,5
101,0.8197587593,0.8955823293,0.9998377234,0.6945688145,09,5
1,0.912013744,0.9012854717,0.9999563688,0.8382585157,11,5
101,0.9106382979,0.9037624776,0.999955385,0.8359375,11,5
1,0.8977035491,0.9379544353,0.9999118932,0.8143939394,13,5
101,0.9125088673,0.9456015682,0.9999270942,0.8390954555,13,5
1,0,0,0.9996254564,0,76,4
101,0,0,0.9996192063,0,76,4
1,0.8808766349,0.8910607867,0.9999220261,0.7871130764,14,5
101,0.8844796105,0.8935071323,0.9999273758,0.792885203,14,5
1,0.909220702,0.9274271845,0.999934694,0.8335514834,15,5
101,0.9092709494,0.9327069578,0.9999341327,0.833635951,15,5
1,0.9001980198,0.9222966119,0.999912024,0.8185091826,22,5
101,0.8656449045,0.8421766073,0.99992469,0.7631163362,22,5
1,0.9120153387,0.9334932403,0.9999266667,0.8382612101,23,5
101,0.9188325522,0.9297262341,0.9999386304,0.8498522167,23,5
1,0.865625,0.8706479691,0.9999179451,0.7630853994,28,5
101,0.8773751657,0.9149769585,0.9998957043,0.7815390671,28,5
1,0.9072470937,0.9276681841,0.9999346956,0.8302399276,31,5
101,0.8733883445,0.9109736417,0.9999083798,0.7752346075,31,5
1,0.875598619,0.8867584029,0.9999134376,0.7787242472,40,5
101,0.8720496894,0.8614457831,0.9999279346,0.7731277533,40,5
