label,k,se,sp,j,atlas,template
1,0.6178304239,0.5271276596,0.9999690175,0.4470004511,002_S_0295,005_S_0572
101,0.6224457718,0.5386289445,0.9999675466,0.451848471,002_S_0295,005_S_0572
1,0.8458539121,0.8654255319,0.9999687417,0.7328828829,002_S_0295,005_S_0546
101,0.8218142549,0.8280739935,0.999968374,0.6975252062,002_S_0295,005_S_0546
1,0.8566895822,0.8617021277,0.999974074,0.749306198,002_S_0295,005_S_0448
101,0.8704918033,0.866702938,0.9999789467,0.770682148,002_S_0295,005_S_0448
1,0.844832288,0.8239361702,0.9999781192,0.7313503305,002_S_0295,005_S_0222
101,0.8576086957,0.8585418934,0.9999757289,0.7507136061,002_S_0295,005_S_0222
1,0.8240791644,0.7973404255,0.9999761885,0.7007947639,002_S_0295,005_S_0324
101,0.808700502,0.7889009793,0.9999726031,0.6788389513,002_S_0295,005_S_0324
1,0.8515205725,0.8861702128,0.9999662594,0.7414330218,002_S_0295,003_S_0907
101,0.8599033816,0.8715995647,0.9999737063,0.7542372881,002_S_0295,003_S_0907
1,0.8349664776,0.8611702128,0.9999651561,0.7166888004,002_S_0295,003_S_0981
101,0.8102229473,0.810663765,0.9999678224,0.6809872029,002_S_0295,003_S_0981
1,0.8376571276,0.8329787234,0.9999730627,0.7206626783,002_S_0295,002_S_1155
101,0.8384862726,0.9221980413,0.9999531127,0.721890971,002_S_0295,002_S_1155
1,0.8306538049,0.8244680851,0.9999722352,0.7103574702,002_S_0295,002_S_1018
101,0.8550724638,0.866702938,0.9999728789,0.746835443,002_S_0295,002_S_1018
1,0.6389301634,0.5718085106,0.9999623061,0.4694323144,002_S_0295,002_S_0938
101,0.6448839209,0.612078346,0.9999516417,0.4758883249,002_S_0295,002_S_0938
1,0.8420241459,0.8718085106,0.9999656158,0.7271517303,002_S_0295,002_S_0954
101,0.8522875817,0.8868335147,0.9999671789,0.7425968109,002_S_0295,002_S_0954
1,0.8564370025,0.829787234,0.9999813369,0.7489198272,002_S_0295,002_S_0782
101,0.8726241135,0.8367791077,0.9999863015,0.7740312028,002_S_0295,002_S_0782
1,0.8348380244,0.8361702128,0.999971132,0.7164995442,002_S_0295,002_S_0729
101,0.8123393316,0.7736670294,0.9999778434,0.683982684,002_S_0295,002_S_0729
1,0.8648074369,0.8659574468,0.9999763724,0.7618156294,002_S_0295,002_S_0685
101,0.8476216071,0.8579978237,0.9999718676,0.7355410448,002_S_0295,002_S_0685
1,0.8215102975,0.7638297872,0.9999834515,0.6970873786,002_S_0295,002_S_0619
101,0.8283727399,0.8101196953,0.9999753612,0.7070275404,002_S_0295,002_S_0619
1,0.8538754765,0.8936170213,0.9999655239,0.7450110865,002_S_0295,002_S_0413
101,0.8080478521,0.8084874864,0.9999674547,0.677919708,002_S_0295,002_S_0413
1,0.8344965105,0.8230088496,0.999972051,0.7159965783,002_S_0413,941_S_1202
101,0.3900990099,0.3068535826,0.9999528365,0.2423124231,002_S_0413,941_S_1202
1,0.7679457061,0.7232055064,0.9999700283,0.6233050847,002_S_0413,098_S_0149
101,0.7530364372,0.8208722741,0.9999363798,0.6038961039,002_S_0413,098_S_0149
1,0.8567907321,0.854473943,0.9999737978,0.7494609746,002_S_0413,116_S_0382
101,0.7422733078,0.7544132918,0.9999507219,0.590170593,002_S_0413,116_S_0382
1,0.8450316543,0.7546705998,0.999994116,0.7316491897,002_S_0413,127_S_0431
101,0.4667544437,0.3681204569,0.9999629495,0.3044224989,002_S_0413,127_S_0431
1,0.8626262626,0.8397246804,0.9999799576,0.7584369449,002_S_0413,094_S_1293
101,0.8269720102,0.8437175493,0.999965156,0.704989154,002_S_0413,094_S_1293
1,0.7953835057,0.8131760079,0.9999566974,0.6602794411,002_S_0413,067_S_0056
101,0.8076281287,0.8795430945,0.9999471364,0.6773290684,002_S_0413,067_S_0056
1,0.8839805825,0.895280236,0.9999756365,0.7920835146,002_S_0413,094_S_1188
101,0.8244126907,0.8836967809,0.9999539397,0.7012772971,002_S_0413,094_S_1188
1,0.8739959839,0.8559488692,0.999980785,0.7761925992,002_S_0413,067_S_0029
101,0.8289340102,0.8478712357,0.9999649721,0.707845687,002_S_0413,067_S_0029
