label,k,se,sp,j,atlas,template
1,0.7888707038,0.8973404255,0.9999347252,0.6513513514,002_S_0295,011_S_0005
101,0.7602053288,0.8460282916,0.9999358287,0.613170347,002_S_0295,011_S_0005
1,0.8278447122,0.8223404255,0.9999715917,0.7062585656,002_S_0295,011_S_0010
101,0.83248185,0.8422198041,0.9999693853,0.7130354675,002_S_0295,011_S_0010
1,0.8196457327,0.8122340426,0.9999706723,0.6944065484,002_S_0295,009_S_1030
101,0.8215924426,0.8280739935,0.9999682821,0.6972056803,002_S_0295,009_S_1030
1,0.6035422343,0.4712765957,0.9999843708,0.432195122,002_S_0295,011_S_0003
101,0.6546338077,0.5130576714,0.9999908064,0.4865841073,002_S_0295,011_S_0003
1,0.8262812089,0.8361702128,0.9999675465,0.7039856695,002_S_0295,009_S_0751
101,0.733315465,0.7442872688,0.9999517336,0.5789250952,002_S_0295,009_S_0751
1,0.8092454835,0.810106383,0.999966811,0.6796073182,002_S_0295,007_S_1339
101,0.7880386983,0.7312295974,0.9999789467,0.6502177068,002_S_0295,007_S_1339
1,0.8027750248,0.8617021277,0.9999507221,0.6705298013,002_S_0295,007_S_1222
101,0.7684236822,0.8367791077,0.9999423562,0.6239350913,002_S_0295,007_S_1222
1,0.7940682708,0.754787234,0.9999747175,0.6584686775,002_S_0295,007_S_0698
101,0.6277016743,0.5609357998,0.9999617546,0.4574090506,002_S_0295,007_S_0698
1,0.7707832773,0.8531914894,0.9999376672,0.6270523847,002_S_0295,007_S_1206
101,0.7889771599,0.8645266594,0.9999447465,0.651496515,002_S_0295,007_S_1206
1,0.8244023083,0.7978723404,0.9999761885,0.7012622721,002_S_0295,007_S_0414
101,0.8087153367,0.7774755169,0.9999754531,0.6788598575,002_S_0295,007_S_0414
1,0.7796336207,0.7696808511,0.9999646045,0.6388520971,002_S_0295,007_S_0249
101,0.7484155415,0.7388465724,0.9999601917,0.5979744606,002_S_0295,007_S_0249
1,0.8346659788,0.8606382979,0.9999651561,0.7162461266,002_S_0295,007_S_0070
101,0.8249452954,0.8204570185,0.9999714999,0.7020484171,002_S_0295,007_S_0070
1,0.8393891522,0.8478723404,0.9999702126,0.72323049,002_S_0295,007_S_0293
101,0.8462177889,0.8307943417,0.9999775676,0.7334293948,002_S_0295,007_S_0293
1,0.8254322365,0.7872340426,0.9999792224,0.7027540361,002_S_0295,007_S_0316
101,0.8009024253,0.7725788901,0.9999735224,0.6679209784,002_S_0295,007_S_0316
1,0.8450026724,0.8409574468,0.9999741659,0.7316057381,002_S_0295,007_S_0101
101,0.8544269419,0.8558215452,0.9999750854,0.7458511143,002_S_0295,007_S_0101
1,0.820986155,0.8989361702,0.9999497108,0.6963329213,002_S_0295,007_S_0068
101,0.8137254902,0.8579978237,0.9999576175,0.6859504132,002_S_0295,007_S_0068
1,0.8084199307,0.8069148936,0.9999672707,0.6784436494,002_S_0295,007_S_0041
101,0.8276595745,0.8465723613,0.9999663514,0.7059891107,002_S_0295,007_S_0041
1,0.8333762555,0.8606382979,0.9999646045,0.7143487859,002_S_0295,006_S_1130
101,0.8199895343,0.8525571273,0.9999616627,0.6949002217,002_S_0295,006_S_1130
1,0.8359275325,0.8712765957,0.9999631335,0.7181060938,002_S_0295,006_S_0681
101,0.8117770768,0.8400435256,0.999961203,0.6831858407,002_S_0295,006_S_0681
1,0.7865778436,0.8478723404,0.9999467689,0.6482309882,002_S_0295,006_S_0731
101,0.7714565964,0.8558215452,0.9999386787,0.6279441118,002_S_0295,006_S_0731
1,0.8113207547,0.754787234,0.9999817047,0.6825396825,002_S_0295,006_S_0675
101,0.8380361174,0.8079434168,0.9999796822,0.7212238951,002_S_0295,006_S_0675
1,0.8267015707,0.839893617,0.999966811,0.7045961624,002_S_0295,005_S_1341
101,0.8497639545,0.8324265506,0.9999785789,0.7387735394,002_S_0295,005_S_1341
1,0.85141712,0.7909574468,0.999988416,0.7412761715,002_S_0295,005_S_0814
